score	repo	issue	source	author	url	title	context
250	notnotmelon/factorissimo-2-notnotmelon	233	issue-body	CombatWombatt	https://github.com/user-attachments/files/22496190/GAMER.-.Kopi.zip	Error running event.	"t=""300"" alt=""Image"" src=""https://github.com/user-attachments/assets/069e4398-0597-411f-8ca8-d7f78b60d610"" /> [factorio-current - Kopi.log](https://github.com/user-attachments/files/22496180/factorio-current.-.Kopi.log) [GAMER - Kopi.zip](https://github.com/user-attachments/files/22496190/GAMER.-.Kopi.zip) "
250	mamoniot/project-cybersyn	317	issue-body	VariousTrick	https://github.com/user-attachments/files/23455020/zzzzz_1.0.2.zip	[Compatibility Request] Seeking guidance on a generic cross-surface scheduling hook for an AI-developed portal mod	ers. Thank you so much for your time and consideration. I truly appreciate any advice you can offer. (P.S. As English is not my native language, this message was also translated with the help of an AI to ensure clarity.) [zzzzz_1.0.2.zip](https://github.com/user-attachments/files/23455020/zzzzz_1.0.2.zip)
250	EarendelDevelopers/factorio-mods	382	issue-body	denverbeek	https://github.com/user-attachments/files/24393910/aai-industry_0.6.14.zip	AAI Industry K2SO compatibility	AAI Industry does not run integration-related code when using K2SO because it only considers K2. Here is fix. [aai-industry_0.6.14.zip](https://github.com/user-attachments/files/24393910/aai-industry_0.6.14.zip)
250	ClaudeMetz/FactoryPlanner	832	issue-body	durandal42	https://github.com/user-attachments/files/31166491/spex.014.-.core.mining.zip	Implement integration for SE's scripted resource generation	"//github.com/user-attachments/assets/a8922186-0482-4b32-855b-c454f8bea785"" /> <img width=""1172"" height=""88"" alt=""Image"" src=""https://github.com/user-attachments/assets/1f537b3f-70fc-4efd-abb3-cb326d34e497"" /> [spex 014 - core mining.zip](https://github.com/user-attachments/files/31166491/spex.014.-.core.mining.zip)"
167	notnotmelon/factorissimo-2-notnotmelon	274	issue-body	ammesonb	https://bammeson.com/K2SE-0.7-Factorissimo-Issue.zip	Unable to place packed factory on other surfaces	 Attach your save file and `factorio-current.log` file. [factorio-current.log](https://github.com/user-attachments/files/26132466/factorio-current.log) Save file is apparently too large, I added it to my webserver and is accessible [here](https://bammeson.com/K2SE-0.7-Factorissimo-Issue.zip) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI coding tools.) - [X] I need someone else to solve this issue please.
142	notnotmelon/factorissimo-2-notnotmelon	206	issue-body	johnlcox	https://f001.backblazeb2.com/file/leacox-public/solo_bobs_factorissimo2025_3.zip	Fluid connections stop working	"factorissimo_connections"", { recheck_all = function() for _, f in pairs(storage.factories) do recheck_factory_connections(f) end end }) ``` **Save file & log** Save file (Too big to attach so I put it here): https://f001.backblazeb2.com/file/leacox-public/solo_bobs_factorissimo2025_3.zip Log: [factorio-current.log](https://github.com/user-attachments/files/20894363/factorio-current.log) "
120	jqr/power-charger	1	issue-body	catalinporneala	https://github.com/user-attachments/files/27569450/crash.patch	crash on Space Exploration	"src=""https://github.com/user-attachments/assets/744ec8b8-aef0-4f13-bfc0-1a579b20222d"" /> In this case I am on Cryonia trying to view Shurdhi. A sloppy patch that I am testing now (I don't know neither Lua, nor Factorio API): [crash.patch](https://github.com/user-attachments/files/27569450/crash.patch) This will cause the arc not to be drawn when not viewing the current planet, but should be ok as we avoid the crash this way. "
117	ClaudeMetz/FactoryPlanner	657	issue-body	anonyme7256	https://drive.google.com/file/d/12cwTj7gtY5EoCYgSqLf_bHTrB0TTG_40/view?usp=sharing	crash when opening factory.	"attachments/assets/8881aa98-63fd-48e8-aa07-fe0f0cd21ce7"" /> log : [factorio-current.log](https://github.com/user-attachments/files/22986614/factorio-current.log) the save size is 94 Mo so I can't share it here. here a link to the save : https://drive.google.com/file/d/12cwTj7gtY5EoCYgSqLf_bHTrB0TTG_40/view?usp=sharing ### Reproduction _No response_"
117	notnotmelon/factorissimo-2-notnotmelon	250	comment-3469842266	Sabrewulf	https://drive.google.com/file/d/1QdbvZ0kMRC3rd6IEHToag3MeR8p0v0Cc/view?usp=drive_link	Remote view edit does not work with Space Exploration	I have the same problem, but i use other mods, github fail to upload, here's my save file: https://drive.google.com/file/d/1QdbvZ0kMRC3rd6IEHToag3MeR8p0v0Cc/view?usp=drive_link
117	notnotmelon/factorissimo-2-notnotmelon	254	issue-body	MylesBolton	https://drive.google.com/file/d/1xukf0rvV2YXTzrT80zrl3tAx64PzBK09/view?usp=sharing	construction bots looping depossiting and removing items from Factorissimo factory.	yone reporting it, so sorry if this is a dupe. Only modifications done to the save file is a deleted a lot of other worlds and empty chunks to make it smaller, bug can still be observed after these changes. **Save file & log** save file: https://drive.google.com/file/d/1xukf0rvV2YXTzrT80zrl3tAx64PzBK09/view?usp=sharing
