branch	path	size	target_hits	stage_hits	priority_path
tmp-se-exact-server-records-result-20260825	tmp-se-exact-server-records/old-record-matches.json	61574	342	0	True
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/candidate-urls.txt	216731	154	0	True
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/network-records.json	444687	108	0	True
tmp-se-server-browser-result-20260824	tmp-se-server-browser/all-servers.json	252008	107	0	False
tmp-se-headless-mirror-result-20260824	tmp-se-headless-mirror/mod-downloads.json	10450	103	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/misc_ff18c2e7da5b.html	15092	100	0	False
tmp-se-redmew-result-20260824	tmp-se-redmew/mod-downloads.json	5207	96	0	False
tmp-se-redmew-retry-result-20260824	tmp-se-redmew-retry/mod-downloads.json	5207	96	0	False
tmp-se-server-browser-result-20260824	tmp-se-server-browser/SUMMARY.txt	21880	72	0	True
tmp-se-server-browser-result-20260824	tmp-se-server-browser/crawl-console.txt	3534	58	0	True
tmp-se-candidate-header-result-20260824	tmp-se-candidate-header/results.json	12666	54	0	True
tmp-se-game-id-range-result-20260825	tmp-se-game-id-range/se-servers.json	10076	40	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/search_0a3b53049b90.html	110536	36	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/search_5d64b71c8c5c.html	125969	27	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/search_e49611fea901.html	127606	27	0	False
tmp-se-history-header-20260824	.github/workflows/tmp-se-history-header.yml	14583	26	0	True
tmp-se-history-header-result-20260824	.github/workflows/tmp-se-history-header.yml	14583	26	0	True
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/misc_e2494258e9c6.html	13146	25	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/search_eb70539b15ce.html	127994	24	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/thread_741c73a0bad210ce.html	29368	24	0	False
tmp-se-candidate-header-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-drive-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-headless-final-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-headless-mirror-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-history-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-redmew-rerun-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-redmew-trigger	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-redmew-workflow-mainbase	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-repo-scan-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-save-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-script-decode-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-speedrun-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-speedrun-result-20260824	tmp-se-speedrun-search/categories.json	38857	23	0	False
tmp-se-video-api-result-20260824	.github/workflows/tmp-se-speedrun-search.yml	12711	23	0	False
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/listing_pump_1.html	107803	21	0	True
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/listing_pump_2.html	107803	21	0	True
tmp-se-asterixyz-modportal-result-20260824	tmp-se-asterixyz-modportal/raw/listing_pump_3.html	107803	21	0	True
tmp-se-redmew-rerun-result-20260824	tmp-se-redmew-rerun/mod-downloads.json	2912	21	0	False
tmp-se-redmew-result-20260824	tmp-se-redmew/header.json	1577	21	0	True
tmp-se-redmew-retry-result-20260824	tmp-se-redmew-retry/header.json	1408	21	0	True
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_anonymous_4x7dy_steve-bobs_2018-10-15_index.html_7bd7e8d6c4c2.html	18695	18	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_anonymous_q0099_Squares_2018-10-19_index.html_faabb8c77c8c.html	18109	18	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_anonymous_t5l0x_PeacefulWin_2018-10-28_index.html_10544840976a.html	19067	18	0	False
tmp-se-exact-server-records-result-20260825	tmp-se-exact-server-records/live-details.json	31234	18	0	True
tmp-se-game-id-range-result-20260825	tmp-se-game-id-range/target-matches.json	6440	18	0	True
tmp-se-madtorio-20260824	.github/workflows/tmp-se-madtorio.yml	5118	18	0	False
tmp-se-madtorio-result-20260824	.github/workflows/tmp-se-madtorio.yml	5118	18	0	False
tmp-se-repo-scan-result-20260824	tmp-se-repo-scan/all-valid-factorio-saves.json	15269	18	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_100x_tech_cost_2018-09-04_index.html_0064aafd1ebe.html	17128	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_antfarm_2018-05-16_index.html_4cb53ac10978.html	16800	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_bacon_islands_2018-07-14_index.html_adcdcba7571a.html	16890	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_beach2_2018-05-26_index.html_15be23c0b736.html	16785	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_beach_2018-05-12_index.html_b940474f36c1.html	16770	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_broken_web_2018-05-30_index.html_c5bd54aa7630.html	16873	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_circular_spiral_2018-08-25_index.html_e5d959eb62fb.html	16948	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_connected_dots_2018-09-01_index.html_1d505ed275f6.html	16983	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_crash_site_0.1.0_2018-06-30_index.html_f570cdc50ae6.html	16975	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_crash_site_0.2.0_2018-06-30_index.html_c12a1c3fea75.html	16923	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_crash_site_0.2.1_2018-07-01_index.html_8207cd864a81.html	16923	17	0	False
tmp-se-archive-discovery-result-20260824	tmp-se-archive-discovery/responses/factoriomaps.com_PublicServers_REDMEW_crash_site_0.3.0_2018-07-02_index.html_26c3edb12e17.html	16963	17	0	False
